,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,id_calendario,id_provincia
247,107,5745,50075,49620,42294,21578,81757,16750.0,33,8
248,107,3024,56043,49636,38295,24068,77290,16583.0,32,8
249,107,3024,61354,59776,39114,16284,67961,12755.0,31,8
250,107,3024,63518,55349,39468,18484,61605,16077.0,30,8
251,105,2911,67255,56060,42432,15774,54600,12826.0,29,8
252,105,2911,65659,53556,40755,16600,53141,14654.0,28,8
253,130,2911,66648,51478,40797,14377,49395,15759.0,27,8
254,130,3679,66758,50640,42090,12856,43391,14569.0,26,8
255,130,4081,72280,47132,41125,11988,39794,13762.0,25,8
256,47,0,88203,44511,42962,18976,30153,14178.0,24,8
257,19,4446,99656,56161,17064,21216,22645,15107.0,23,8
258,18,5905,100687,52316,23196,24221,10664,17206.0,22,8
259,18,9217,107013,50068,28957,18146,7619,12142.0,21,8
260,18,8769,94780,50027,29002,18146,7612,13693.0,20,8
261,18,9048,96095,45651,31353,15111,6786,0.0,19,8
262,18,8179,94459,44570,34281,12012,5920,0.0,18,8
263,18,8861,90080,45599,37401,9818,5071,0.0,17,8
264,1685,9078,95466,45189,30010,7958,4113,0.0,16,8
265,1691,7545,98032,42947,29011,3878,2397,0.0,15,8
266,1680,7944,104422,41800,23524,2604,823,0.0,14,8
267,1680,8080,108379,39146,20562,2254,317,0.0,13,8
268,1680,8253,110296,38491,19509,1801,280,0.0,12,8
269,1768,10657,110844,38665,17737,1307,248,0.0,11,8
270,4734,16368,115000,36917,15522,849,205,0.0,10,8
271,2864,17749,104137,35104,14057,457,165,0.0,9,8
272,2865,18883,104224,33989,13668,399,163,0.0,8,8
273,2863,20385,103990,34788,9924,384,153,0.0,7,8
274,2864,21986,104043,32293,7867,354,136,0.0,6,8
275,2867,23951,104168,28113,6926,274,119,0.0,5,8
276,2311,27801,88649,18318,3584,1,66,0.0,4,8
277,1709,29710,91450,12569,1310,0,48,0.0,3,8
278,2187,32781,86757,12564,1162,0,44,0.0,2,8
279,2177,35206,85248,10828,746,0,43,0.0,1,8
280,97,307,23538,19545,6194,564,17704,589.0,35,17
281,97,407,23834,19706,6330,591,16326,590.0,34,17
282,97,448,24113,6945,6613,716,15028,588.0,33,17
283,84,0,22908,6983,6811,1135,13775,1967.0,32,17
284,381,0,22778,7142,6978,1192,12707,1617.0,31,17
285,381,0,22364,7310,7460,1341,11077,1618.0,30,17
286,56,0,22409,7569,7916,1215,9579,1942.0,29,17
287,56,0,23540,7606,7181,1197,8946,1680.0,28,17
288,391,151,23163,7432,7125,991,8219,1737.0,27,17
289,391,151,23534,7109,6998,961,7475,1313.0,26,17
290,1127,342,23761,6500,6564,964,6918,100.0,25,17
291,1127,191,24606,6319,6788,1766,5671,243.0,24,17
292,1110,349,24943,6049,7117,2262,4443,100.0,23,17
293,1110,349,26512,5399,8384,2639,2258,100.0,22,17
294,1110,3023,23085,5301,9027,2099,1654,0.0,21,17
295,1110,3074,22962,5285,9027,2092,1654,0.0,20,17
296,1110,3365,22624,5259,9336,1729,1434,0.0,19,17
297,1110,3568,22409,5176,9727,1313,1243,0.0,18,17
298,1110,3803,10092,5117,10061,1091,1046,0.0,17,17
299,1110,4061,13220,4867,6996,977,824,0.0,16,17
300,1063,3716,13752,5187,6056,899,459,0.0,15,17
301,1486,3419,14787,4795,4583,749,139,0.0,14,17
302,1535,3538,15473,4446,4058,635,22,0.0,13,17
303,1573,3519,15791,4114,3855,649,17,0.0,12,17
304,1723,4277,15581,3964,3658,648,10,0.0,11,17
305,1675,5401,14370,3569,3218,593,10,0.0,10,17
306,1738,5731,14163,3229,2906,544,5,0.0,9,17
307,1791,6081,14279,2704,2713,519,4,0.0,8,17
308,1862,6521,14354,2791,1842,379,2,0.0,7,17
309,1881,6907,14247,2436,1324,257,1,0.0,6,17
310,1891,7336,14413,2024,878,157,1,0.0,5,17
311,1947,7830,14058,1852,473,47,1,0.0,4,17
312,2001,8323,14202,1324,85,0,0,0.0,3,17
313,2032,8218,13944,1321,85,0,0,0.0,2,17
314,2062,8475,13685,1133,67,0,0,0.0,1,17
315,58,1879,19135,15254,36083,519,45895,0.0,35,14
316,58,1829,19458,15790,37786,549,37391,2453.0,34,14
317,58,1761,22141,16321,37923,576,35287,2442.0,33,14
318,58,175,22446,16793,38134,564,33421,2324.0,32,14
319,48,175,23884,16417,37755,561,29917,2401.0,31,14
320,48,175,24182,16577,37908,607,29950,2401.0,30,14
321,49,175,23735,17293,40649,568,25609,2378.0,29,14
322,49,182,23772,14379,44930,446,19282,2811.0,28,14
323,55,182,32131,10566,45198,293,15238,3065.0,27,14
324,55,182,30548,10519,26829,209,9417,16557.0,26,14
325,55,182,33120,9979,26693,166,7349,16545.0,25,14
326,55,0,32920,9632,26764,102,5286,14122.0,24,14
327,27,885,31722,9240,26835,56,3671,16545.0,23,14
328,27,940,26233,8441,26700,27,2600,21765.0,22,14
329,27,2817,30727,7811,4021,30,1141,37162.0,21,14
330,27,2803,30727,7811,4021,30,1141,43573.0,20,14
331,345,3020,29048,7756,4066,39,623,0.0,19,14
332,345,3320,29319,8083,3977,44,7,0.0,18,14
333,345,4807,27219,8044,3925,49,4,0.0,17,14
334,345,5364,26566,7721,3507,44,3,0.0,16,14
335,337,5723,26835,7369,2962,41,2,0.0,15,14
336,311,5877,26915,6974,2538,42,1,0.0,14,14
337,330,6213,27824,6486,2306,44,0,0.0,13,14
338,303,6225,27778,6143,2134,43,0,0.0,12,14
339,286,6878,27425,5943,1978,31,0,0.0,11,14
340,2561,8292,25301,5589,1750,3,0,0.0,10,14
341,2543,8558,22383,5188,1623,0,0,0.0,9,14
342,2551,8876,21867,5044,1587,0,0,0.0,8,14
343,2549,9278,21588,5169,966,0,0,0.0,7,14
344,2479,9474,20248,4792,730,0,0,0.0,6,14
345,2458,9754,19858,3939,603,0,0,0.0,5,14
346,1880,10427,19740,3443,465,0,0,0.0,4,14
347,127,10979,20216,2305,82,0,0,0.0,3,14
348,1873,11233,18851,2305,82,0,0,0.0,2,14
349,1832,11498,18415,2002,56,0,0,0.0,1,14
350,68,1887,61540,9653,11592,5609,22731,3012.0,35,22
351,68,1887,62546,9842,11800,5247,17125,3012.0,34,22
352,301,2223,62812,9869,12044,5250,14400,2833.0,33,22
353,301,493,64840,9082,12259,4821,12184,3027.0,32,22
354,298,313,65063,7395,8737,4023,10506,4152.0,31,22
355,298,554,64146,7769,8128,3399,9311,4062.0,30,22
356,298,554,68200,7864,7611,2786,7368,2424.0,29,22
357,298,554,70184,8124,6562,2396,6257,2520.0,28,22
358,293,810,66695,7820,5577,2189,6322,4029.0,27,22
359,293,810,71218,7531,3800,1657,3377,1123.0,26,22
360,293,811,72740,7199,3029,1342,2113,1618.0,25,22
361,293,313,76747,6900,1951,1287,1342,1566.0,24,22
362,237,3289,75849,5922,1611,1359,941,1618.0,23,22
363,236,3289,75406,5191,1366,1445,629,2661.0,22,22
364,236,8327,70538,4466,1061,1354,405,698.0,21,22
365,241,7727,70508,3661,978,1328,270,923.0,20,22
366,242,8417,68507,3153,920,1189,216,698.0,19,22
367,244,8797,68083,2409,965,969,179,698.0,18,22
368,245,8119,67104,1616,1076,614,98,3503.0,17,22
369,310,8729,66053,1227,792,391,81,3503.0,16,22
370,343,8244,64794,855,588,327,51,0.0,15,22
371,356,8633,59045,558,336,244,21,0.0,14,22
372,362,9279,57739,331,192,165,11,0.0,13,22
373,368,9789,56694,16,335,132,11,0.0,12,22
374,374,10187,55792,15,224,114,11,0.0,11,22
375,429,10616,63928,15,119,96,11,0.0,10,22
376,426,11065,52117,15,78,71,11,0.0,9,22
377,592,12951,48798,16,63,49,10,0.0,8,22
378,613,13087,47660,9,55,39,10,0.0,7,22
379,5737,8182,46235,27,24,25,10,0.0,6,22
380,6059,8054,45038,26,10,13,10,0.0,5,22
381,6266,6879,36520,26,5,4,10,0.0,4,22
382,6458,6645,41009,24,5,4,10,0.0,3,22
383,7032,6761,34089,18,5,4,10,0.0,2,22
384,7434,6535,32501,17,5,4,10,0.0,1,22
385,18,689,2842,3375,24219,5331,50390,0.0,35,21
386,18,728,3179,3890,23814,5481,48920,0.0,34,21
387,18,778,3576,4692,23624,5645,45970,0.0,33,21
388,18,1,5018,5437,23559,5671,43424,0.0,32,21
389,18,1,5366,5979,23315,4868,42613,0.0,31,21
390,18,1,5312,5971,23298,4825,42158,19.0,30,21
391,18,1,36749,5968,4604,215,5074,-1.0,29,21
392,18,1,36906,6060,4633,181,4979,0.0,28,21
393,21,1,37105,5955,4660,124,4748,2.0,27,21
394,21,1,37375,5661,4686,73,4336,2.0,26,21
395,21,1,37209,5158,4640,22,1294,0.0,25,21
396,21,0,37846,5045,4763,22,1305,0.0,24,21
397,9,10,38657,4786,4887,22,1307,0.0,23,21
398,9,11,39819,4297,4857,13,1298,0.0,22,21
399,9,1169,40285,4088,5216,17,869,0.0,21,21
400,9,1164,40285,4088,5216,17,869,3.0,20,21
401,9,1291,40647,4138,5425,20,339,0.0,19,21
402,9,1384,40679,4198,5640,20,15,0.0,18,21
403,9,1485,40680,4217,5831,19,1,0.0,17,21
404,9,1488,40777,4083,5813,22,3,0.0,16,21
405,16,1497,40882,3899,5604,23,3,0.0,15,21
406,9,1554,9304,3599,1796,24,2,0.0,14,21
407,9,1578,9486,3409,1718,22,2,0.0,13,21
408,9,1646,9635,3334,1675,13,3,0.0,12,21
409,9,2349,9686,3316,1562,11,2,0.0,11,21
410,10,3151,9043,3190,1344,3,5,0.0,10,21
411,10,3382,9060,2980,1254,2,3,0.0,9,21
412,10,3638,9127,2937,1215,2,3,0.0,8,21
413,10,3840,9102,2984,832,0,3,0.0,7,21
414,10,4082,9093,2680,641,0,3,0.0,6,21
415,11,4201,9379,2207,533,0,3,0.0,5,21
416,9,4333,9728,1943,386,0,3,0.0,4,21
417,10,4785,9720,1337,61,0,0,0.0,3,21
418,10,4785,9719,1337,61,0,0,0.0,2,21
