,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros
399,2018,3,Río Negro,68590,33474,1252,5051,5125
400,2018,3,Salta,76600,53980,678,234,1391
401,2018,3,San Juan,54025,5838,826,2744,1048
402,2018,3,San Luis,11096,7784,368,52859,2314
403,2018,3,Santa Cruz,18606,4574,585,6238,3996
404,2018,3,Santa Fe,339126,312866,11749,16337,15022
405,2018,3,Santiago Del Estero,25805,58789,23,1662,81
406,2018,3,Tierra Del Fuego,19365,22649,1502,1,2047
407,2018,3,Tucumán,161209,9280,110,252,315
408,2018,2,Buenos Aires,1450203,1807868,143626,71256,27746
409,2018,2,Capital Federal,342431,977916,35610,3908,9321
410,2018,2,Catamarca,27444,4415,15,1,2214
411,2018,2,Chaco,54134,40750,562,1946,1129
412,2018,2,Chubut,58935,19591,1239,14070,6729
413,2018,2,Córdoba,345141,327636,13832,16355,10109
414,2018,2,Corrientes,56541,39715,201,1468,32
415,2018,2,Entre Ríos,104811,80376,2405,12313,80
416,2018,2,Formosa,23543,7311,18,13625,57
417,2018,2,Jujuy,33571,10856,23,640,43
418,2018,2,La Pampa,12416,53587,8420,7011,987
419,2018,2,La Rioja,16663,34984,13,253,35
420,2018,2,Mendoza,152938,36872,3084,6206,1852
421,2018,2,Misiones,57265,47923,512,391,56
422,2018,2,Neuquén,46633,52855,998,12649,2713
423,2018,2,Río Negro,68667,32795,1252,4396,5125
424,2018,2,Salta,78386,53478,678,234,1391
425,2018,2,San Juan,54080,5068,826,3079,1048
426,2018,2,San Luis,11104,7666,368,16,2314
427,2018,2,Santa Cruz,18615,4474,585,6734,3997
428,2018,2,Santa Fe,337934,304349,11354,15801,15114
429,2018,2,Santiago Del Estero,26074,55935,23,1662,81
430,2018,2,Tierra Del Fuego,19372,22756,531,1,2047
431,2018,2,Tucumán,160315,8965,110,252,315
432,2018,1,Buenos Aires,1452061,1793884,133928,64379,31194
433,2018,1,Capital Federal,349995,968483,35535,3164,9393
434,2018,1,Catamarca,27300,4415,15,1,2214
435,2018,1,Chaco,54879,40157,383,388,1130
436,2018,1,Chubut,56375,19591,1194,14070,6729
437,2018,1,Córdoba,349342,326894,13178,13237,11275
438,2018,1,Corrientes,56937,35225,888,1334,33
439,2018,1,Entre Ríos,106998,75751,3789,10776,80
